Gene,signalvalue
CASC15,123.1869731
C6orf106,100.5660973
LOC101929705,55.56326332
SUPT3H,99.31923588
TRAM2,60.78932572
EYS,78.4618383
KCNQ5,89.55684721
KLHL32,154.9795171
AMD1,52.40858613
MAN1A1,61.14578288
ARHGAP18,74.79666956
IL20RA,136.854707
UTRN,183.4657902
ESR1,180.6330837
IRF4,61.06940473
FARS2,169.1916752
LY86-AS1,234.2556261
RREB1,78.12561255
BLOC1S5-TXNDC5,175.8171575
NEDD9,60.71775219
HIVEP1,62.36615249
PHACTR1,60.89996338
GFOD1,187.9715395
JARID2,121.6466491
ATXN1,97.68370399
FAM65B,56.2210762
CARMIL1,65.95465196
ZNRD1ASP,50.40781385
HCG17,115.4863793
HCG18,115.4863793
SRSF3,66.85010149
ZFAND3,61.96654009
BTBD9,52.65911361
TFEB,55.96269879
TRERF1,55.36137451
GLTSCR1L,91.32492766
TTBK1,57.24280077
RUNX2,69.07417747
BMP5,51.31072518
PRIM2,65.96280039
COL19A1,54.37695795
FAM135A,111.059364
SMAP1,80.17813834
RIMS1,73.59343861
LOC101928516,63.57113517
LOC101928911,97.63806851
RNGTT,152.3532948
UBE2J1,52.65432164
BACH2,68.69015316
FAXC,56.45629396
ASCC3,50.14697307
GRIK2,152.1234475
PDSS2,69.88728129
SCML4,81.42791077
LACE1,84.42525265
FOXO3,51.41173759
ARMC2,112.6824838
WASF1,50.08359449
CDK19,249.561856
SLC16A10,56.35858889
REV3L,119.5349459
FYN,94.12273145
NCOA7,231.0358108
ECHDC1,60.53896212
ENPP3,58.54244757
MOXD1,154.3571375
SGK1,143.1954
AHI1,224.2041835
MAP3K5,84.8746058
NHSL1,65.68806379
TXLNB,61.00724376
HIVEP2,122.8285496
UST,118.6654619
TAB2,62.78749629
MTHFD1L,57.22275194
ARMT1,53.51410447
SYNE1,131.1191461
OPRM1,52.2115804
IPCEF1,138.2097453
TIAM2,124.6296779
DUSP22,163.0374075
SERPINB9P1,59.81708513
