Gene,signalvalue
LOC101929680,51.78607353
CERS6,126.5831775
METTL8,187.6267293
CIR1,69.85366739
WIPF1,70.01444663
ATF2,92.74480294
TTN-AS1,75.25012302
TTN,75.25012302
CCDC141,54.70397897
SESTD1,70.21538564
LOC101927156,306.9334281
PPP1R1C,156.2636312
TFPI,65.0693002
LINC01090,120.7873887
GLS,65.62268455
NABP1,70.611591
STK17B,52.72393004
PGAP1,74.42521827
ANKRD44,130.1495635
AOX1,52.33472839
CFLAR,107.282093
CASP8,103.9616976
FAM117B,62.92508186
ICA1L,153.3420028
NBEAL1,51.27650679
CTLA4,123.9725055
ADAM23,73.8911496
KLF7,221.518734
PLEKHM3,57.46390546
PTH2R,90.41977143
BARD1,77.0406559
ABCA12,65.14382298
PECR,121.1287375
SMARCAL1,110.7653143
DIRC3,153.5931322
USP37,72.44934503
AP1S3,55.09657325
WDFY1,143.0474465
DOCK10,78.77253009
RHBDD1,75.85136659
FBXO36,131.8430942
SP110,76.70915818
SP140L,79.23742448
SP100,80.13126955
DIS3L2,156.0749022
INPP5D,94.16142575
LRRFIP1,78.88820173
ANKMY1,77.91626597
FARP2,62.10185133
LOC100506274,62.00230337
ADAM17,150.280569
TAF1B,107.8473993
MSGN1,56.63119892
LBH,72.56086715
SLC30A6,96.41328991
GPATCH11,55.21603994
LINC00211,64.20915788
ATP6V1E2,68.53958079
MCFD2,78.31029622
SLC1A4,87.56541847
CEP68,67.81269933
SPRED2,85.61865438
PLEK,96.43456825
ARHGAP25,128.1111886
MXD1,55.38163526
KCMF1,58.34136521
GGCX,60.50477283
STARD7-AS1,51.45679014
NCAPH,61.74051238
LOC105373496,55.39819928
ACTR1B,67.90605552
MGAT4A,148.3102182
MITD1,58.47899176
LINC01104,95.65329328
RPL31,73.48501094
RNF149,80.01380869
IL18R1,63.8202055
UXS1,54.25088162
RANBP2,96.91374409
LOC400997,81.70601414
SLC20A1,113.6380447
LOC101060091,62.71324292
INSIG2,52.08429917
RALB,106.5740405
WDR33,78.02563007
MIR128-1,157.6996139
DARS-AS1,69.94346987
LOC101929319,79.2488549
TNFAIP6,79.2488549
STAM2,50.7034746
PRPF40A,136.3696235
CD302,71.63034643
GORASP2,66.86460105
DCAF17,143.9645108
CDCA7,87.81971408
SP3,58.25396957
CHRNA1,58.87894574
PLEKHA3,50.66114772
CWC22,57.2852884
DUSP19,114.9056377
ITGAV,51.02117726
NAB1,103.3900966
STAT4,100.6451927
ANKRD44-IT1,130.1495635
LOC101927795,131.9566215
BZW1,131.9566215
ORC2,76.1688661
CFLAR-AS1,118.1894887
CASP10,50.1876743
INO80D,59.58214692
LOC101927865,159.6828094
CCNYL1,118.826885
RUFY4,60.7974353
ARPC2,55.15033179
SLC11A1,248.2593445
TTLL4,56.16752475
AGFG1,72.84714749
SP140,81.36942936
GPR55,52.03367901
SPATA3-AS1,199.3248018
USP40,89.26975365
MIR4269,81.55661066
MTERF4,92.19459781
2-Sep,106.6241827
GAL3ST2,50.44738582
ULK4,165.4595743
MED12L,52.19444786
IQCJ-SCHIP1,103.1459829
SCHIP1,103.1459829
GOLIM4,157.8829586
EDEM1,78.17151911
ATG7,55.71717167
ANKRD28,59.60534667
RBMS3,143.2105782
SETD2,52.11622101
ERC2,86.97556633
FHIT,115.4154573
ATXN7,54.60544861
FOXP1,148.9118347
ROBO1,183.5392791
MIR548G,237.3600984
CMSS1,237.3600984
FILIP1L,237.3600984
LOC152225,198.3491343
BTLA,130.4893883
ZBTB20,51.23904662
LOC105374060,133.0461967
BFSP2,124.8453916
BFSP2-AS1,124.8453916
PIK3CB,68.11290991
MBNL1,94.25793601
TNIK,211.0065534
FNDC3B,80.14222336
NAALADL2,116.383556
KCNMB2-AS1,153.5344942
KCNMB2,153.5344942
MRPL47,70.50730405
CCDC39,74.7421394
SOX2-OT,123.3160573
P3H2,118.7767021
SUMF1,79.29974342
ITPR1,94.19773618
BHLHE40-AS1,101.8826727
SRGAP3,85.66203474
IRAK2,65.64182249
VGLL4,117.7224077
PPARG,83.73740529
C3orf20,68.99393701
